,Comments,Origin
0,Muy lamentable situación,Maerker
1,"Y más de 100,000 personas desaparecidas desaparecidas México",Maerker
2,Pura trata de blancas,Maerker
3,PUES EXIJAMOS A LOS GOBERNADORES QUE SE PONGAN A TRABAJAR!!!,Maerker
4,DMS 💋,Maerker
5,En Guanajuato muchas mas,Maerker
6,Martha Hernandez,Maerker
7,Ahí está mi presidente que dice abrazos no balazos neta que gobierno tan pndj y lo peor ue hay mucho que le aplauden solo por unos apoyos neta que coraje que ni el estado ni el presidente de la República hagan algo al respecto para combatir la delincuencia,Maerker
8,Janete Lopes,Maerker
9,.,Maerker
10,Es la inercia que dejaron los gobiernos anteriores,Maerker
11,"Y como siempre, ""aquel"" dirá que es culpa de los gobiernos anteriores...",Maerker
12,Pero AMLO tiene otros datos.,Maerker
13,Lo que dejaron sin resolver los prisnistas,Maerker
14,"Lo gacho es que mas del 90% pertenecian a celulas del narco, ahi hace falta inculcar valores por que ningun hijo nace malandro",Maerker
15,"El estado de México, donde el PRI Oficial México es la monarquía rampante de toda la vida 😕🤷",Maerker
16,Y q está haciendo el Gobierno,Maerker
17,Nada importa destruyamos más esos gobiernos prianistas permitieron eso por eso nada detendrá el progreso se rellenaran más cenotes con cemento 😎 nada va a frenar la transformación de ese 10 porciento que queda si es necesario que quede un 5 porciento o cero y se talara todo lo necesario pero tendremos un tren en medio de la selva medios. Chayoteros viva la cuarta transformación,Maerker
18,Donde están los artistas preocupados ..,Maerker
19,Y donde están los ecologista el verde derbez,Maerker
20,Donde esta Eugenio derves,Maerker
21,Se pasan que coraje 😠😠😠😠😡😡😡😡😡😡😡😡😡😡😡,Maerker
22,Lamentable situación,Maerker
23,😡😡😡,Maerker
24,Dónde andan los payasos,Maerker
25,Arturo Islas Allende,Maerker
26,Greenpeace México cuando vas para aya,Maerker
27,Donde esta dervez para rescatarlo,Maerker
28,Isaac Montemayor,Maerker
29,.,Maerker
30,"Claaaaaro que estoy de acuerdo que todos los pescados murieron,….. no le encuentro falla a la lógica",Maerker
31,Es culpa del tren maya,Maerker
