,Comments,Origin
0,Claro q si es necesario.Todo 🇲🇽 sabe q Lencho no es neutral al q le de billete ese va ser el presidente..y no debe ser así.,Milenio
1,No toda la culpa es del gobierno ni de la seguridad publica cada uno asume sus riesgos al salir a divertirse pero luego no se quejen.,Milenio
2,Narco fiesta,Milenio
3,Y luego hacen sus desmadres de cerrar el Periférico a la altura del Naucalli,Milenio
4,L,Milenio
5,Logrado,Milenio
6,"Es el reflejo del total desinterés y apatía por parte de las autoridades, a nadie le importo buscarla realmente, hacían como que trabajaban, simulaban que hacían",Milenio
7,Lo que sucedió con esa morra significa que el dinero en México puede hacer lo que sea,Milenio
8,"Pero qie sea parejo,hay mujeres que han sido acosadas por otras mujeres, y niños por señores en la calle",Milenio
9,Nuevolandia va por masas 😡,Milenio
10,Otra de esas y me desmayo!! @milenio,Milenio
11,¿Y por qué un perro en la imagen? 😬🥴,Milenio
12,"Y vive con un pulmón...Siempr
e en Nuestras Oraciones...Sol
o Dios Conoce Su Sufrimiento. Por Cierto Me Encanto Su Libro ¿Quien Soy Yo Para Juzgar?",Milenio
13,Le deseo mejoría,Milenio
14,Que se cuide nuestro hermoso Papá que sin caminar dará igual su evangelización a todo el mundo.,Milenio
15,Ya cierren ese lugar,Milenio
16,Amén,Milenio
17,Gladis Moltalvo,Milenio
18,🙏❤️🙌,Milenio
19,"Si le han pedido no caminar, no es problema, seguro con mucho gusto encontrará alguien que le quiera empujar en una silla de ruedas. ¿Cual es el problema? ni el primero ni el último, es lo más normal cuando se tienen problemas de ese tipo. ¡ANIMO! Nadie se ha muerto por eso.",Milenio
20,"¿Dónde está tu mesías, Francisco?...de
bería bajar y sobarte la pata con ""ungüento del angelito"".",Milenio
21,Que no camine y que no hable por favor 😂😂😂😂😅,Milenio
22,DIOS DICIENDOLE AL DIABLO QUE LE PARE ...,Milenio
23,Una madre con su bebe,Milenio
24,Mamá con un bebé,Milenio
25,"Mamá con su, niño.",Milenio
26,Mamá con su bebé,Milenio
27,Mamá con su niño,Milenio
28,Madre con su bebe.,Milenio
29,Mama con bebe,Milenio
30,La mamá y su bebe,Milenio
31,Una mujer libre,Milenio
32,Alguien me porìa ddcir que significa?,Milenio
33,Weeeeeeeeeee el demonio hablándole al oído a élla...,Milenio
34,"Jesucristo, el primer socialista de la historia y su leyenda, atraviesan los siglos, su ejemplo y la sencillez de sus enseñanzas, contravienen por completo la forma de vivir del mundo moderno.",Milenio
35,Damon Albarn ya debería ser patrimonio de la humanidad. La verdad.,Milenio
36,Song machine season 2 por favor Damon 🤭 ojalá ❤️,Milenio
37,Eres grande Damon,Milenio
38,Fernando Angulo,Milenio
39,Naomi Giorgio,Milenio
40,Ben Antonio G. Alda,Milenio
41,Se ven igualitos que hace 20 años..nunca envejecen!! 😱,Milenio
42,Son como una caricatura ese grupo.,Milenio
43,Son los mismos soldados ucranianos los q están realizando las torturas para echarle la culpa a Rusia 🇷🇺,Milenio
44,"El verdadero monstruo es Ucrania pero como siempre Milenio, lame suelas de Washington siguiendo el guión",Milenio
45,El cinismo de Los facistas no tiene límites ellos comenten las masacres y luego se lo achacan a Los rusos,Milenio
46,Go Rusia,Milenio
47,Pueden ser ustedes mismos por qué si de verdad les doliera el pueblo solo.com no entrar a la OTAN ya estaba resuelto y ustedes desde el 2008 están en guerra con la otra mitad de ukrania por qué ellos si se sientes rusos y ustedes han matado a muchos civiles y han hecho astrocidades lo que tienen es doble moral 😡,Milenio
48,"Le llenaron el ""buche"" de piedritas a los rusos por eso hizo lo que hizo en ""bucha""..... Buchale!!!!!!!!",Milenio
49,Así mismo Milenio no te prestes para esas calumnias el mundo sabe que son los propios nazis UKRANIANO los que cometen esos crimenes,Milenio
50,"Alguien les cree? Con sus cuerpos según ejecutados pero sin ningún charco de sangre, solo vean en la vida real como una sola bala de calibre civil provoca hemorragias brutales, los cuerpos de bucha no tenían ni un solo rastro. Por eso ya nadie les siguió su jueguito porque hasta el forense más novato puede deducir que no murieron así.",Milenio
51,Dice la nota que ganó su premio por los avances de Osborn Company.,Milenio
52,"Grande Willian Dafoe:el gran duende verde, actorazo de muchas películas, felicidades",Milenio
53,"¿Quien es?, ¿ que ha hecho? en que trabaja, ¡ha de ser importante para recibir ese título!.",Milenio
54,Al tiro con el duende verde,Milenio
55,"Bien por el duende verde, Felicidades....",Milenio
56,Es verdad lo que decía estudio doctorado.,Milenio
57,Norman se puso a estudiar cariño,Milenio
58,"Sabes, yo también tengo algo de científico.",Milenio
59,"Mississippi en llamas, la última tentación de Cristo, Pelotón,psicópa
ta americano...act
orazo",Milenio
60,Sabes yo también tengo algo de doctorado cariño,Milenio
61,"Norman se fue a graduarse de doctor cariño....muaja
aajajajaj",Milenio
62,"Cuando menos le voy a sacar un provecho a la cuarta t , haré una quiniela con sus precandidatos, aunque yo añadiría a Doña Beatriz, con eso de su testamento, vaya usted a saber.",Milenio
63,"Hara encuestas y finalmente es probable que busque continuar en el poder,con el pretexto de que no quería,pero el pueblo 15% lo decide.",Milenio
64,"TODOS con NOROÑA, es el BUENO",Milenio
65,Dios nos agarre confesados,Milenio
66,Todos menos ella,Milenio
67,"Esa mujer no me inspiraconfianz
a para los presidenciales mekor TATIANA GLOUTIER",Milenio
68,"...otra encuesta...nnno
ooooooooooo
!!!",Milenio
69,Claro que es su favorita. Pues es la más manejable.,Milenio
70,“Ganará” El Conde LUCANOR 🤣,Milenio
71,Ahora que lo diga sin llorar 😂,Milenio
72,El mejor candidato el Dr Monrreal,Milenio
73,Rosalva Lopez,Milenio
74,"Con que sea una encuesta confiable y, que no sea remedo.",Milenio
75,Haed Carranza,Milenio
76,Haed Carranza,Milenio
77,Luis Jiménez Jlp,Milenio
78,Haed Carranza,Milenio
79,La corcholatita,Milenio
80,Richard PM,Milenio
81,Es increíble lo que hacen por dinero!,Milenio
82,Que más va a decir!,Milenio
83,Ya la quito amlo,Milenio
84,"""Gracias por participar, . . . siga intentándolo"". YSQ a un distractor.",Milenio
85,Artür Vázquez,Milenio
86,Haed Carranza,Milenio
87,Mari Carmen Sarmiento,Milenio
88,Pepo Lizardo Galvan Trueba,Milenio
89,"Cada uno tiene su preferido, voy por el secretario de gobernación.",Milenio
90,Jamás ganaría,Milenio
91,😂😂😂😂😂😂,Milenio
92,Presidente de 🇲🇽 #1,Milenio
93,"La corcholata desechable, cuál encuesta, las patito que hace Amlo, será el dedazo el mesías",Milenio
94,Está bien pero primero que resuelva lo de la línea 12 del metro y que expie sus culpas,Milenio
95,Aprender de Monreal Qué respetando el presidente no es sumiso y tiene sus propias ideas y convicciones￼,Milenio
96,Ya sabemos todos y habrá quien lo niegue públicamente ( aunque interiormente lo sabe también) que el candidato de Morena será el presidente de México en el 2024. Cuatro años desperdiciados por la oposición y no tienen un candidato. Puro caballo flaco en su bagaje 😂😂,Milenio
97,Y los culpables de la tragedia de la linea 12 del metro? Claudia Sheimbaum seguirá impune?,Milenio
98,"Como no va estar si es la mala copia de su jefe,q flojera de persona sin voluntad propia, inteligencia y nada de carisma.",Milenio
99,Bola de arrastrad@s,Milenio
100,"Ni loco voy a votar por esa tipa aún carga los muertos de la línea 12 encima, y más cosas aun, votaría por cualquier otra mujer, menos ella",Milenio
101,Así está señora cuando le habla su patrón,Milenio
102,Terna de favoritos pero del kks.,Milenio
103,Pues su cara dice otra cosa.,Milenio
104,"Y el asunto de la línea 12 del metro, para cuándo se ocupa la jefa de gobierno",Milenio
105,Que encuesta ni que nada es lo que decida AMLO,Milenio
106,Ya sientes muy cerquita la silla presidencia Jajajaja,Milenio
107,¿Y quién la incluyó?,Milenio
108,Aplaudidora de sus idioteces 🤬,Milenio
109,a webo pos q mas lo q diga mi dios mi lider mi mesias,Milenio
110,Igual q todos los de morena empezando con ñadrador,Milenio
111,Derrota anticipada,Milenio
112,Marcelo Ebrad 2024,Milenio
113,Nunca ganarías eres una rata,Milenio
114,Asesina,Milenio
