,Comments,Origin
0,Piden sancionar a Rusia. Pero la UE le compra a Rusia hidrocarburos. Por que carajos piden sanciones a otros países y ellos si le compran.,Reforma
1,Mr. Biden dígale a Trump que le hable al AMLOCO y verá que hasta dinero les manda a los Ucraneanos 😂😃🤘🤪,Reforma
2,Orale Kakas ! Rapidíto y de buenas.,Reforma
3,DIJO AMLO. Q ABRAZOS Y NO BOMBAZOS,Reforma
4,"Pues, quién manda aquí!... 🤷😆🤣🤣",Reforma
5,"O sea,siguen con vernos muy bajitos,no saben respetar la soberania y autodeterminaci
on de los pueblos.",Reforma
6,NOSOTROS NO RECIBIMOS ORDENES DE NADIE Y MENOS DEL IMPERIO EN DECADENCIA,Reforma
7,NOS QUIEREN INVOLUCRAR EN SUS ODIOS PORQUE NO USAN ABRAZOS NO BOMBASOS DIOS ES BUENO,Reforma
8,Que ganas de continuar con lo mismo,Reforma
9,Que el ganso tiene otros datos 😄 ...y que se lo dobla EUA,Reforma
10,"No, nuestro país es libre y que no se involucre por ambición de otros países, por rencillas ambiciosas que tiene ese país",Reforma
11,Esta retonto este señor buscandonos inmiscuirnos en una guerra que ellos provocaron,Reforma
12,Q le importa baden a México Mex. No se mete con la política deEUA,Reforma
13,Es cuate de Putin.,Reforma
14,Yo pido a Estados Unidos que limpie su casa primero que establecesca como solucionar a nueva York que está en graves crisis de nuevo como revivir la ciudad mejor dicho capital del motor que alguna ves fue en detroit y solucionar su sequía grave,Reforma
15,"Dejarse mandar por USA es, ser gobernado por ellos, traición a la patria.
AMLO mejor presidente y líder en América.",Reforma
16,"NO ES NUESTRO PROBLEMA ESE CONFLICTO, Y NO SEAMOS PARTE DE ESE CONFLICTO, NI DE NINGÚN OTRO CONFLICTO INTERNACIONAL, QUE NO NOS ARRASTREN A ESE CONFLICTO, MÉXICO Y NOSOTROS LOS MEXICANOS ESTAMOS DEDICADOS A TRABAJAR Y A SALIR ADELANTE, NOSOTROS LOS MEXICANOS ESTAMOS DEDICADOS A NUESTROS ASUNTOS, Y NO A SER PARTE DE ESE CONFLICTO",Reforma
17,"Ya que no se lo pida, que se lo exija.
Ya lo dijo Trump: es el presidente de los EEUU.
No entiendo por qué tanto la cortesía en un tema tan relevante para el planeta 🤔",Reforma
18,Si a Trump le dio el ejército como muro que le dará a Biden,Reforma
19,Amlo dijo ser respetuoso de los conflictos entre esos 2 paises,Reforma
20,"No, gracias.",Reforma
