,Comments,Origin
0,"Ok gracias por informar, lo anotaré en mi libro de 100 datos innecesarios",Universal
1,Y a dónde mandaron al puerco con ojos de zapo ?,Universal
2,"No somos iguales.

Y los del PRI y pan nunca lo entenderán",Universal
3,Una copia de lo que hizo alibaba,Universal
4,Mi gober precioso 2 🤫 esta igual de feo que su gobierno,Universal
5,"Pensé que era la mansión de Loret en Valle de Bravo, pero este está muy humilde a comparación",Universal
6,Se hacerca el final de su imperio.... satánico.,Universal
7,"Médico: ""Lo siento papa no podrá estar de pie""
Papa: ""¿Y vos cuántas copas tenés!?""",Universal
8,El que se ha de condenar por una pata ha de empezar.,Universal
9,"ellos no tienen que ver médicos ellos se deven curar por la gracia del señor, al ser fieles y tan allegados al señor que le pida por su recuperación y si el decide llevárselo para estar junto a el que lo disfrute",Universal
10,lo que No esta bien. Es que tengan muchas riquezas y los niños de África muriendo de hambre y sed ...🤔🙄,Universal
11,EL MUNDO TAMPOCO PADRE.🙏,Universal
12,Pues tan fácil con que su Dios lo haga eternamente joven y sano,Universal
13,"Me da gusto ver qué cada día las reacciones son de risa, porque esa risa significa que ya se dieron cuenta de lo ridículo que es la figura papal, el Vaticano y en general cualquier religión.",Universal
14,"Pronta recuperación al sumo pontífice, nuestras oraciones por ud.",Universal
15,Haber si tu amigo imaginario hace algo al respecto por ti,Universal
16,Recuperes pronto Padre Francisco porque hay mucho demonio y hereje suelto.,Universal
17,Ahora sí los obedecen pero antes los quemaban !!,Universal
18,Le dedico una oración santo padre,Universal
19,Dos padres nuestro y queda fino,Universal
20,Echese un padre nuestro,Universal
21,Un timador es lo que eres,Universal
22,Jajaja y para que al médico si tiene a dios de su lado? ¿Así o más claro?,Universal
23,Ni la pierna ni la iglesia…,Universal
24,"Pongan “amén”, se le compone o se muere, jajajaja.",Universal
25,AMÉN,Universal
26,"Que apele al poder de Cristo, el lo sana todo, pero no, son vampiros humanos que viven del poder y control que ejercen esas instituciones arcaicas que promueven y sobreviven de la culpa.
El que despierta la consciencia no enferma, pero son ciegos guiando ciegos.",Universal
27,Cómo la ase de pedo el pinche viejito 😂,Universal
28,Preocupese cuando sea su Alma!!!,Universal
29,"Mejor que rece, pa que se cure xdd",Universal
30,🙏🙏🙏,Universal
31,Grande el papa,Universal
32,El hambre en África tampoco está bien y se soluciona con la tercera parte de su riqueza ....,Universal
33,Poco rollo en ese carretel.,Universal
34,Si la pones el hombro de uno de estos te la Arreglan,Universal
35,Y eso que nunca ha trabajado.,Universal
36,"Aunque esté parado es lo mismo, no resuelve nada 🤷",Universal
37,"Si fuera verdad no le habían dado la consecion por muchos años a los chinos los prian, en el norte... De explotarlo. Así que por muy que sea espe🤭😂 saben para que se usa el litio y no venga a tratar a los mexicanos como que no saben el uso y significado de que un país tenga litio👍",Universal
38,"Pura mentira... El universal Online corrupto, cada cosa sacas para mentir a la sociedad.",Universal
